LONGITUDE,LATITUDE,TIMESTAMP,NO
-1.883,113.6163,9082015,287
-2.2264,114.118,9082015,288
-1.8772,113.355,10082015,289
-2.2383,114.2498,10082015,290
-2.2285,114.1313,10082015,291
-2.2311,114.1119,10082015,292
-2.2293,114.1249,10082015,293
-2.0583,113.9491,10082015,294
-1.8737,113.3799,10082015,295
-1.8766,113.358,10082015,296
-1.8661,113.3735,10082015,297
-1.8693,113.3516,10082015,298
-1.6254,113.5894,10082015,299
-1.4955,113.4082,10082015,300
-1.8592,113.3817,10082015,301
-1.8649,113.3889,10082015,302
-2.2468,114.0618,11082015,303
-2.2292,114.1279,11082015,304
-2.2321,114.2093,11082015,305
-2.2307,114.2004,11082015,306
-2.0651,113.9549,11082015,307
-1.9052,113.6195,11082015,308
-2.2163,113.7934,11082015,309
-2.3186,114.1091,11082015,310
-2.2907,113.8586,11082015,311
-2.3163,114.0981,11082015,312
-2.2302,114.1984,11082015,313
-2.2403,114.1287,11082015,314
-1.9874,113.529,11082015,315
-1.8804,113.371,11082015,316
-1.6321,113.5957,11082015,317
-1.5041,113.5454,11082015,318
-1.5059,113.5328,11082015,319
-1.4992,113.5394,11082015,320
-1.4964,113.4105,11082015,321
-2.2249,114.1074,11082015,322
-2.2325,114.2103,11082015,323
-2.2346,114.196,11082015,324
-2.2339,114.1231,11082015,325
-1.6238,113.5978,11082015,326
-1.8724,113.3818,11082015,327
-2.0587,113.741,11082015,328
-2.0524,113.9551,11082015,329
-2.318,114.0983,11082015,330
-2.0561,113.9534,11082015,331
-1.8683,113.3821,11082015,332
-2.0577,113.9643,11082015,333
-2.0464,113.7462,11082015,334
-2.0562,113.7448,11082015,335
-2.2244,114.2065,11082015,336
-2.2313,114.1136,11082015,337
-2.2329,114.1248,11082015,338
-2.2429,113.9037,11082015,339
-2.231,114.0834,13082015,340
-2.2344,114.106,13082015,341
-2.2361,114.1172,13082015,342
-1.9297,113.6386,13082015,343
-1.9267,113.6599,13082015,344
-2.2313,114.1989,13082015,345
-2.2315,114.1313,13082015,346
-2.2356,114.1031,13082015,347
