LATITUDE,LONGITUDE,TIMESTAMP
-2.2225,111.7258,23/08/2015
-2.2314,111.4721,23/08/2015
-1.9526,111.9407,23/08/2015
-1.9539,111.9317,23/08/2015
-2.0203,111.3321,23/08/2015
-2.0216,111.3232,23/08/2015
-2.0444,111.0359,23/08/2015
-1.886,111.7593,23/08/2015
-1.8873,111.7503,23/08/2015
-1.8781,111.7524,23/08/2015
-1.8499,111.8217,23/08/2015
-1.8383,111.646,23/08/2015
-1.8893,111.2894,23/08/2015
-1.8906,111.2805,23/08/2015
-1.8353,111.3387,23/08/2015
-1.8366,111.3298,23/08/2015
-1.8047,111.3615,23/08/2015
-1.7957,111.3602,23/08/2015
-1.5852,110.7762,23/08/2015
-1.5839,110.7851,23/08/2015
-1.5763,110.9023,23/08/2015
-1.5751,110.9112,23/08/2015
-1.5853,110.9036,23/08/2015
-1.584,110.9125,23/08/2015
-1.5713,111.0014,23/08/2015
-1.616,111.0079,23/08/2015
-1.6985,110.9436,23/08/2015
-1.6972,110.9525,23/08/2015
-1.5623,110.873,23/08/2015
-1.5724,110.8016,23/08/2015
-1.57,111.0103,23/08/2015
-1.607,110.8157,23/08/2015
-1.5294,111.3585,23/08/2015
-2.2405,111.4855,24/08/2015
-2.2384,111.4787,24/08/2015
-1.9658,111.5496,24/08/2015
-1.1615,111.3995,25/08/2015
-1.1601,111.3906,25/08/2015
-1.0379,111.4962,25/08/2015
-2.2924,111.6937,25/08/2015
-2.294,111.683,25/08/2015
-2.2103,111.6209,25/08/2015
-1.877,111.7511,25/08/2015
-1.8673,111.7497,25/08/2015
-1.8687,111.7393,25/08/2015
-1.8858,111.5282,25/08/2015
-1.8575,111.6554,25/08/2015
-1.8141,111.5401,25/08/2015
-1.8939,110.9684,25/08/2015
-1.7896,111.6297,25/08/2015
-1.8764,110.9603,25/08/2015
-1.7893,111.3531,25/08/2015
-1.7931,111.183,25/08/2015
-1.7831,111.1816,25/08/2015
-1.7847,111.1703,25/08/2015
-1.7895,111.1361,25/08/2015
-1.7911,111.1247,25/08/2015
-1.7219,111.1777,25/08/2015
-1.7234,111.1667,25/08/2015
-1.7118,111.1764,25/08/2015
-1.6971,111.2088,25/08/2015
-1.6855,111.2188,25/08/2015
-1.6871,111.2072,25/08/2015
-1.6522,111.3839,25/08/2015
-1.6293,111.3973,25/08/2015
-1.6309,111.3862,25/08/2015
-1.6211,111.3846,25/08/2015
-1.653,111.1625,25/08/2015
-1.6382,111.1949,25/08/2015
-1.6398,111.1835,25/08/2015
-1.6359,111.0675,25/08/2015
-1.613,111.1568,25/08/2015
-1.603,111.1555,25/08/2015
-1.6046,111.1442,25/08/2015
-1.5444,111.3448,25/08/2015
-1.4967,111.5369,25/08/2015
-1.4983,111.5261,25/08/2015
-1.52,111.3746,25/08/2015
-1.5216,111.3637,25/08/2015
-1.5154,111.1938,25/08/2015
-1.517,111.1825,25/08/2015
-1.3459,111.7459,25/08/2015
-1.3474,111.7355,25/08/2015
-1.3002,111.9999,25/08/2015
-1.2747,111.8028,25/08/2015
-1.2651,111.8014,25/08/2015
-1.254,111.8103,25/08/2015
-1.2555,111.8001,25/08/2015
-1.2516,111.6193,25/08/2015
-1.2531,111.6089,25/08/2015
-1.0529,111.498,25/08/2015
-1.9623,111.5431,25/08/2015
-1.9583,111.5368,25/08/2015
-2.2667,111.4602,26/08/2015
-1.9028,110.8709,26/08/2015
-1.614,111.1616,26/08/2015
-1.6109,111.1533,26/08/2015
-1.5796,110.7454,26/08/2015
-1.5305,111.188,26/08/2015
-1.5837,110.7507,26/08/2015
-1.5352,111.1672,26/08/2015
-1.5313,111.1933,26/08/2015
-1.8648,111.6619,27/08/2015
-1.8673,111.6443,27/08/2015
-1.8592,111.6742,27/08/2015
-1.8619,111.6564,27/08/2015
-1.8033,111.5403,27/08/2015
-1.917,110.9274,28/08/2015
-1.7689,111.0869,29/08/2015
-2.0511,111.3977,29/08/2015
-2.0556,111.3654,29/08/2015
-1.9687,111.6449,29/08/2015
-2.0425,111.3895,29/08/2015
-1.9741,111.6384,29/08/2015
-1.8871,111.6896,29/08/2015
